ecoid,ecogroup
028BY056NV,28 31AB
028BY067NV,28 32AB
028AY056NV,28 32AB
028AY073NV,28 32AB
028AY078NV,28 32AB
028BY025NV,28 32AB
028BY055NV,28 32AB
028AY015NV,28 3A
028AY010NV,28 3A
028AY017NV,28 3A
028AY022NV,28 3A
028AY028NV,28 3A
028AY031NV,28 3A
028AY095NV,28 3A
028AY124NV,28 3A
028BY010NV,28 3B
028BY007NV,28 3B
028BY014NV,28 3B
028BY045NV,28 3B
028BY052NV,28 3B
028BY080NV,28 3B
028BY086NV,28 3B
028AY126NV,28 4A
028AY061NV,28 4A
028AY094NV,28 4A
028AY125NV,28 4A
028AY131NV,28 4A
028BY037NV,28 4B
028BY035NV,28 4B
028BY036NV,28 4B
028BY039NV,28 4B
028BY092NV,28 4B
028BY034NV,28 5AB
028AY062NV,28 5AB
028BY038NV,28 5AB
028BY040NV,28 6AB
028AY007NV,28 6AB
028AY021NV,28 6AB
028AY123NV,28 6AB
028AY064NV,28 7A
028AY040NV,28 7A
028AY050NV,28 7A
028AY066NV,28 7A
028AY088NV,28 7A
028AY092NV,28 7A
028AY127NV,28 7A
028BY087NV,28 7B
028BY015NV,28 7B
028BY026NV,28 7B
028BY030NV,28 7B
028BY046NV,28 7B
028BY079NV,28 7B
028BY088NV,28 7B
028BY091NV,28 7B
028BY094NV,28 7B
028BY096NV,28 7B
028BY070NV,28 8AB
028AY057NV,28 8AB
028AY065NV,28 8AB
028AY067NV,28 8AB
028AY068NV,28 8AB
028BY029NV,28 8AB
028BY033NV,28 8AB
028BY085NV,28 8AB
028BY104NV,28 8AB
028BY105NV,28 8AB
028BY003NV,28 9AB
028AY055NV,28 9AB
028AY090NV,28 9AB
028BY024NV,28 9AB
026XY025NV,26 1
026XY041NV,26 1
026XY047NV,26 1
026XY050NV,26 1
026XY088NV,26 1
026XY090NV,26 1
026XY095NV,26 1
026XY023NV,26 2
026XY078NV,26 2
026XY027NV,26 3
026XY091NV,26 3
026XY097NV,26 3
026XY028NV,26 4
026XY039NV,26 4
026XY037NV,26 5
026XY049NV,26 5
026XY042NV,26 6
026XY011NV,26 7
026XY016NV,26 7
026XY019NV,26 7
026XY022NV,26 7
026XY024NV,26 7
026XY098NV,26 7
026XY099NV,26 7
026XY102NV,26 7
026XY029NV,26 8
026XY094NV,26 8
026XY008NV,26 9
026XY010NV,26 9
026XY015NV,26 9
026XY017NV,26 9
026XY018NV,26 9
026XY026NV,26 9
026XY103NV,26 9
026XY014NV,26 10
026XY020NV,26 10
026XY033NV,26 10
026XY051NV,26 10
026XY096NV,26 10
026XY101NV,26 10
026XY004NV,26 11
026XY012NV,26 11
026XY030NV,26 11
026XY032NV,26 11
026XY034NV,26 11
026XY057NV,26 11
026XY005NV,26 12
026XY006NV,26 12
026XY040NV,26 12
026XY046NV,26 12
026XY048NV,26 12
026XY085NV,26 12
026XY089NV,26 12
026XY105NV,26 12
026XY106NV,26 12
026XY111NV,26 12
026XY038NV,26 13
026XY052NV,26 13
026XY056NV,26 13
026XY075NV,26 13
026XY076NV,26 13
026XY082NV,26 13
026XY084NV,26 13
026XY108NV,26 13
026XY109NV,26 13
026XY110NV,26 13
026XY112NV,26 13
026XY021NV,26 14
026XY009NV,26 15
026XY080NV,26 15
026XY031NV,26 16
026XY063NV,26 17
026XY092NV,26 17
026XY062NV,26 18
026XY064NV,26 18
026XY070NV,26 18
026XY072NV,26 18
026XY093NV,26 18
026XY044NV,26 19
026XY060NV,26 19
026XY061NV,26 19
026XY069NV,26 19
026XY071NV,26 19
026XY104NV,26 19
026XY066NV,26 20
026XY077NV,26 21
026XY036NV,26 22
026XY058NV,26 23
026XY067NV,26 23
026XY065NV,26 24
029XY008NV,29 1
029XY014NV,29 1
029XY045NV,29 1
029XY047NV,29 1
029XY099NV,29 1
029XY104NV,29 1
029XY170NV,29 1
029XY028NV,29 2
029XY173NV,29 2
029XY006NV,29 3
029XY009NV,29 3
029XY010NV,29 3
029XY029NV,29 3
029XY049NV,29 3
029XY057NV,29 3
029XY073NV,29 3
029XY075NV,29 3
029XY105NV,29 3
029XY106NV,29 3
029XY116NV,29 3
029XY119NV,29 3
029XY158NV,29 3
029XY167NV,29 3
029XY062NV,29 4
029XY128NV,29 4
029XY052NV,29 5
029XY053NV,29 5
029XY055NV,29 5
029XY056NV,29 5
029XY163NV,29 5
029XY092NV,29 6
029XY030NV,29 7
029XY061NV,29 7
029XY138NV,29 7
029XY164NV,29 7
029XY050NV,29 8
029XY051NV,29 8
029XY150NV,29 8
029XY003NV,29 9
029XY093NV,29 10
029XY114NV,29 10
029XY156NV,29 10
029XY012NV,29 11
029XY034NV,29 11
029XY046NV,29 11
029XY080NV,29 11
029XY117NV,29 11
029XY159NV,29 11
029XY091NV,29 12
029XY024NV,29 13
029XY063NV,29 13
029XY120NV,29 13
029XY004NV,29 14
029XY017NV,29 15
029XY022NV,29 15
029XY032NV,29 15
029XY033NV,29 15
029XY035NV,29 15
029XY039NV,29 15
029XY059NV,29 15
029XY064NV,29 15
029XY087NV,29 15
029XY016NV,29 16
029XY021NV,29 16
029XY031NV,29 16
029XY079NV,29 16
029XY020NV,29 17
029XY042NV,29 17
029XY094NV,29 18
029XY048NV,29 19
029XY018NV,29 20
029XY153NV,29 20
029XY076NV,29 21
029XY155NV,29 21
029XY068NV,29 22
029XY069NV,29 22
