ecogroup,groupname,grouptype,modal_site,pub_status
28 2B,ARNO4/PSSP6-ACHY,DRG,028BY006NV,final
28 3A,ARTRW/ACHY-HECO26,DRG,028AY015NV,final
28 3B,ARTRW/ACHY-HECO26,DRG,028BY010NV,final
28 4A,ARAR8-PUTR2/PSSP6-ACTH7,DRG,028AY126NV,final
28 4B,ARAR8/PSSP6-ACTH7,DRG,028BY037NV,final
28 5AB,ARAR8-ARNO4/PSSP6-ACHNA,DRG,028BY034NV,final
28 6AB,ARPY2/ACHY-HECO26,DRG,028BY040NV,final
28 7A,ARTRV/PSSP6-ACHY,DRG,028AY064NV,final
28 7B,ARTRV/PSSP6-ACTH7,DRG,028BY087NV,final
28 8AB,ARTRV/PSSP6,DRG,028BY070NV,final
28 9AB,ARTRT/LECI4,DRG,028BY003NV,final
28 10AB,ARTR2/LECI4,DRG,028AY025NV,final
28 11AB,ARTR2/ACHY-ELMA7,DRG,028BY068NV,final
28 12AB,SAVE4-ARTR2/LECI4,DRG,028BY028NV,final
28 13AB,KRLA2/ACHY,DRG,028BY020NV,final
28 14AB,ATCA2-SAVE4/ACHY,DRG,028AY011NV,final
28 15AB,SAVE4/LECI4-SPAI,DRG,028BY004NV,final
28 16A,ATCO/ACHY,DRG,028AY012NV,final
28 16B,ATCO/ACHY-ELEL5,DRG,028BY017NV,final
28 18AB,KRLA2/ACHY,DRG,028BY013NV,final
28 19AB,ATFA/PASM-ACHY,DRG,028BY047NV,final
28 20AB,ATFA-SAVE4/ELEL5,DRG,028BY097NV,final
28 21AB,PIMO-JUOS/ARNO,DRG,028BY060NV,final
28 22AB,PIMO-JUOS/ARAR8,DRG,028AY075NV,final
28 23AB,PIMO-JUOS/ARTRV,DRG,028BY062NV,final
28 24AB,PILO-PIFL2,DRG,028AY081NV,final
28 25AB,ABCOC-PIFL2-PILO,DRG,028BY063NV,final
28 26A,ALOC2/DISP,DRG,028AY009NV,final
28 28AB,CEIN7/ARNO4/ACSC11,DRG,028BY066NV,final
28 29AB,CELE3/ARTRV/PSSP6-ACHNA,DRG,028BY043NV,final
28 30AB,CELE3/ARTRV/PSSP6-ACTH7,DRG,028BY042NV,final
28 31AB,ARTRW/ELEL5-POSE,DRG,028AY001NV,final
28 32AB,POTR5,DRG,028BY067NV,final
29 1,ARNO4/ACHY,DRG,029XY008NV,draft
29 2,ARNO4/PSSPI,DRG,029XY028NV,draft
29 3,ARTRW/ACHY-HECO26,DRG,029XY010NV,draft
29 4,ARAR8/ACSP12-ACHY,DRG,029XY062NV,draft
29 5,ARAR8-AMUT/POFE,DRG,029XY163NV,draft
29 6,ARPY2/ACHY-HECO26,DRG,029XY092NV,draft
29 7,ARTRV-AMUT/POFE,DRG,029XY164NV,draft
29 8,ARTRV/ACHNA-POFE,DRG,029XY051NV,draft
29 9,ARTRT/LECI4,DRG,029XY003NV,draft
29 10,ATTO/LECI4-SPAI,DRG,029XY093NV,draft
29 11,ATCA2-KRLA2/ACHY,DRG,029XY046NV,draft
29 12,ARTR2-SAVE4-ATTO/LECI4,DRG,029XY091NV,draft
29 13,ATCO-SAVE4/ACHY,DRG,029XY024NV,draft
29 14,SAVE4/LECI4-SPAI,DRG,029XY004NV,draft
29 15,ATCO-ARSP5/ACHY,DRG,029XY017NV,draft
29 16,GRSP-EPNE/ACHY-ACSP12,DRG,029XY079NV,draft
29 17,KRLA2/ACHY,DRG,029XY042NV,draft
29 18,ALOC2/SPAI,DRG,029XY094NV,draft
